prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
7745.36,0,1658,0.0917744,3069.45,0.0139358,0,0.00251184,0,115.206,0,0,0.0319153,0,28,7904.93,1.0922,1658,1522.99,0,0.498436,0,0,0,0.05,0.00533848,8678.54,0,3120.99,0,0.0445375,251.393,5884.4,WAIT_DIE,0,0,0,0,1.91596,0,0.00395144,0.00140834,0,0,0,0,0,false,0,0,0,0,0,0,30.4822,288.359,4.59373,0,0,0.0450448,4.56485,0.103566,0,0,0.0161157,1.583,0,0,8882.61,0,0,356,0,0,21.4887,0.206473,0,967,0,0,0,0,582,0,0,7531.53,4833.84,0,720,0,0.704821,false,0,0,0,0,8875.59,TWO_PC,0.0298305,0,6963.83,0,0,0,0,0,0,0,0,0.5,0,0,7722.11,0,0.00451403,0,582,1658,0,0,0,false,0.535954,0,0.00430684
7714.6,0,1744,0.0957697,2632.87,0.0134254,0.6,0.00272161,0,413.295,0,125,0.03189,0,28,7912.85,1.28036,1744,1545.45,0,0.54956,119,0,0,0.05,0.00513325,7922.8,76.3169,2884.17,0,0.11755,337.376,4743.02,WAIT_DIE,0.0707457,0,0,0,1.02715,0,0.00432635,0.00147257,0,0,0,0,0,false,0,0,0,0,0,0,31.5973,373.222,4.34143,6,0,0.0517418,4.3888,0.191532,0,93,0.0169594,1.80993,0,0,8053.04,0,0,380,0,0,21.3035,0.468134,0,1024,0,0,0,1,743,0,0,8096.78,4070.06,0,740,0,1.02781,false,0,0,0,0,6757.69,TWO_PC,0.0283086,125,6782.96,0,0,0.982544,1,0,0,0,0,0.5,0,0,7351.17,26,0.0049741,0,624,1744,193.723,0,0,false,0.601324,450.927,0.00508804
16685.9,0,472,0.925737,8900.51,0.0685338,0.8,0.00143338,0,264.084,0,5453,0.109766,0,28,19777,3.43365,472,257.124,0,0.871267,5444,0,0,0.05,0.0225281,19420.6,17507.4,5709.29,0,0.038436,319.944,12283.3,WAIT_DIE,2.67244,0,0,0,1.04305,0,0.0298233,0.000750003,0,0,0,0,0,false,0,0,0,0,0,0,51.3993,291.711,3.10406,28,0,0.195428,144.865,1.48393,0,3514,0.00505991,5.72744,0,0,16349.1,0,0,105,0,0,19.6664,0.719432,0,544,0,0,0,9,5637,0,0,12926.1,17460.3,0,204,0,0.355556,false,0,0,0,0,477.659,TWO_PC,0.155747,5453,16233,0,0,136.063,9,0,0,0,0,0.5,0,0,16151.3,1938,0.0301273,0,163,472,37238.1,0,0,false,1.08964,85919.6,0.0185245
5608.51,0,423,1.51787,2113.7,0.0973053,0.9,0.0044137,0,161.955,0,9637,0.212584,0,28,8541.11,4.45792,423,200.207,0,0.901448,9396,0,0,0.05,0.0271819,6191.82,38049.7,2369.02,0,0.0481788,536.55,1782.15,WAIT_DIE,5.52664,0,0,0,2.25914,0,0.00653221,0.00199686,0,0,0,0,0,false,0,0,0,0,0,0,59.1587,225.119,1.87523,1326,0,0.537867,358.058,1.99037,0,3246,0.00745967,7.43212,0,0,5656.43,0,0,96,0,0,16.5799,0.452969,0,2129,0,0,0,68,9767,0,0,2276.57,3815.33,0,160,0,0.597426,false,0,0,0,0,100.79,TWO_PC,0.2048,9637,4926.97,0,0,134.032,68,0,0,0,0,0.5,0,0,4546.77,6316,0.00739781,0,167,423,87214,0,0,false,1.60179,184453,0.00630215
10342.7,0,102,1.43649,5987.76,0.35975,0.99,0.00197422,0,442.304,0,10845,1.17866,0,28,14884.9,3.75119,102,55.0288,0,0.957051,10706,0,0,0.05,0.140358,14121.5,190441,4762.05,0,0.038896,708.429,4600.13,WAIT_DIE,6.37074,0,0,0,1.75776,0,0.00300744,0.00102115,0,0,0,0,0,false,0,0,0,0,0,0,51.9001,824.435,1.36137,862,0,1.29372,3.80552,1.49635,0,3775,0.0027881,5.64321,0,0,12449.6,0,0,19,0,0,15.4671,0.48348,0,1417,0,0,0,56,11030,0,0,2246.36,12619.9,0,44,0,0.497559,false,0,0,0,0,43.9944,TWO_PC,0.714154,10845,9341.29,0,0,492.856,56,0,0,0,0,0.5,0,0,9812.89,7206,0.00347711,0,39,102,338658,0,0,false,0.942466,670863,0.00299025
13009.2,0,51,2.83197,5769.22,1.22005,1.1,0.0022929,0,1414.52,0,22170,2.52604,0,28,24272.2,7.36775,51,17.2824,0,1.61054,21967,0,0,0.05,0.600934,14125.8,1.0316e+06,6058.75,0,0.073482,847.967,2516.74,WAIT_DIE,8.66145,0,0,0,2.51355,0,0.00454271,0.00149672,0,0,0,0,0,false,0,0,0,0,0,0,82.6272,1977.87,0.586214,3798,0,2.73316,1325.12,2.83197,0,5759,0.00270042,11.4429,0,0,15767.3,0,0,14,0,0,13.2832,0.513863,0,1758,0,0,0,45,22461,0,0,2669.52,13493.6,0,19,0,1.71275,false,0,0,0,0,13.7457,TWO_PC,2.3551,22170,10380.7,0,0,290.967,45,0,0,0,0,0.5,0,0,9957.76,16674,0.00526432,0,18,51,1.19521e+06,0,0,false,1.5056,2.29753e+06,0.0165115
17150.1,0,765,0.109676,7821.65,0.0312032,0,0.00121226,0,83.109,0,0,0.0784565,0,28,17696.6,1.24702,765,657.939,0,0.610907,0,0,0,0.05,0.011184,19956.6,0,6231.44,0,0.0288098,133.623,13251,WAIT_DIE,0,0,0,0,2.48176,0,0.00218126,0.000587298,0,0,0,0,0,false,0,0,0,0,0,0,32.5562,243.734,4.5281,0,0,0.0957645,4.17014,0.143657,0,0,0.00743882,1.65434,0,0,16778.1,0,0,159,0,0,22.2903,0.402406,0,457,0,0,0,0,284,0,0,17351.4,13498.7,0,322,0,0.30376,false,0,0,0,0,16771.3,TWO_PC,0.065109,0,15851.3,0,0,0,0,0,0,0,0,0.5,0,0,16568.7,0,0.00244939,0,284,765,0,0,0,false,0.528429,0,0.00216238
13990.1,0,891,0.115729,8363.62,0.0276197,0.6,0.0014239,0,87.4179,0,108,0.0718189,0,28,11636.1,1.15506,891,776.718,0,0.489786,70,0,0,0.05,0.0110889,16440.6,114.012,4847.68,0,0.0388306,354.328,14689.7,WAIT_DIE,0.0691168,0,0,0,1.48354,0,0.00218847,0.000618852,0,0,0,0,0,false,0,0,0,0,0,0,32.1198,268.551,4.29712,38,0,0.0971742,4.23114,0.202428,0,43,0.00865542,1.84034,0,0,13364.9,0,0,189,0,0,21.9994,0.278727,0,528,0,0,0,1,395,0,0,13689.8,14059.8,0,379,0,0.324436,false,0,0,0,0,10923.6,TWO_PC,0.0566893,108,13545.4,0,0,1.53218,1,0,0,0,0,0.5,0,0,16146.1,27,0.00251015,0,323,891,418.238,0,0,false,0.458879,1019.94,0.0026497
10404.9,0,719,0.524838,4427.41,0.0399059,0.8,0.001865,0,478.915,0,5263,0.0759861,0,28,11119.7,2.92237,719,440.873,0,0.734424,5243,0,0,0.05,0.0154277,10627.2,11215.8,4168.37,0,0.0201109,1365.87,4613.8,WAIT_DIE,3.6149,0,0,0,1.88238,0,0.00298511,0.000862585,0,0,0,0,0,false,0,0,0,0,0,0,45.664,609.027,3.24278,31,0,0.124677,164.007,1.29624,0,2727,0.00776355,4.31319,0,0,11248.8,0,0,156,0,0,18.3433,0.611436,0,846,0,0,0,17,5531,0,0,8677.73,7833.7,0,301,0,0.774596,false,0,0,0,0,541.244,TWO_PC,0.0826025,5263,9876.22,0,0,276.132,17,0,0,0,0,0.5,0,0,10677.7,2519,0.00338884,0,262,719,20905.2,0,0,false,1.06485,44484.3,0.0189748
20818.5,0,198,1.45125,11718.7,0.18039,0.9,0.00107806,0,191.957,0,8018,0.517629,0,28,28718.3,5.18826,198,89.7091,0,1.23519,8009,0,0,0.05,0.0597852,25072.4,69394.7,10082.4,0,0.0114331,1394.18,14679.1,WAIT_DIE,4.54932,0,0,0,1.4257,0,0.00154123,0.000517048,0,0,0,0,0,false,0,0,0,0,0,0,61.7998,397.462,2.307,30,0,0.778024,525.739,1.61606,0,3352,0.00286467,7.56649,0,0,25705.6,0,0,41,0,9724.19,17.6809,0.718885,0,630,0,0,0,24,8102,0,0,10296.3,21125.4,0,81,0,0.39712,false,0,0,0,0,246.276,TWO_PC,0.373991,8018,19835.3,0,0,2012.93,24,0,0,0,0,0.5,0,0,18732.3,4657,0.00178415,0,76,198,137770,0,0,false,1.26289,279721,0.00193527
