prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
2628.02,0,5986,0.0104764,418.597,0.00378801,0,0.0091484,0,78.9715,0,1,0.00593677,0,28,3041.23,0.944261,5986,5796.79,0,0.335069,1,0,0,0.05,0.0015717,2349.14,0,740.933,0,0.176579,235.565,534.276,WAIT_DIE,0.000537115,0,0,0,4.96174,0,0.0165797,0.00877564,0,0,0,0,0,false,0,0,0,0,0,0,28.9139,224.274,6.50265,0,0,0.00706337,6.98131,0.022222,0,1,0.0582937,0.856906,0,0,2160.94,0,0,1355,0,0,22.1817,0.222001,0,4394,0,0,0,0,2042,0,0,2917.87,574.229,0,2591,0,1.63574,false,0,0,0,0,2149.3,TWO_PC,0.00807504,1,2210.57,0,0,0,0,0,0,0,0,0.5,0,0,2151.1,0,0.0211185,0,2040,5986,0.461662,0,0,false,0.796887,1.35466,0.016528
2513.81,0,6309,0.0086346,359.886,0.00360913,0.6,0.00961656,0,103.718,0,22,0.00559806,0,28,2850.09,0.864825,6309,6209.95,0,0.331645,19,0,0,0.05,0.00155227,2161.96,2.54557,729.363,0,0.179168,231.258,486.499,WAIT_DIE,0.010275,0,0,0,4.48685,0,0.018368,0.00943426,0,0,0,0,0,false,0,0,0,0,0,0,28.4466,219.803,6.5485,3,0,0.00615556,7.77309,0.0232591,0,8,0.0614293,0.792223,0,0,2140.91,0,0,1423,0,0,22.0473,0.228913,0,4618,0,0,0,3,2158,0,0,2782.91,441.237,0,2751,0,1.74312,false,0,0,0,0,2109.63,TWO_PC,0.00763039,22,2144.65,0,0,1.0374,3,0,0,0,0,0.5,0,0,2113.63,11,0.0232285,0,2135,6309,6.07996,0,0,false,0.773505,14.6865,0.0173872
2275.06,0,3746,0.0936711,508.441,0.00685137,0.8,0.00999209,0,90.9152,0,5523,0.00871971,0,28,2980.88,1.12618,3746,3490.04,0,0.355477,5262,0,0,0.05,0.00199625,2179.51,1013.95,712.017,0,0.157271,227.365,574.511,WAIT_DIE,2.30187,0,0,0,4.54943,0,0.017158,0.0078763,0,0,0,0,0,false,0,0,0,0,0,0,30.0535,207.191,4.99439,374,0,0.0174224,18.0992,0.525008,0,2711,0.0401895,1.00114,0,0,2038.61,0,0,846,0,0,20.4585,0.215186,0,5546,0,0,0,89,6812,0,0,2124.58,815.001,0,1608,0,1.02648,false,0,0,0,0,387.631,TWO_PC,0.0160731,5523,1841.84,0,0,32.22,89,0,0,0,0,0.5,0,0,1787.11,2696,0.0217852,0,1292,3746,3355.86,0,0,false,0.854944,8467.96,0.0169156
1993.69,0,1332,0.338414,492.01,0.0215109,0.9,0.0106776,0,152.724,0,11083,0.0429519,0,28,3055.89,1.59285,1332,1133.27,0,0.386648,10487,0,0,0.05,0.00431188,1718.03,4782.41,709.828,0,0.154774,360.901,513.153,WAIT_DIE,4.50586,0,0,0,2.1221,0,0.0164403,0.00815429,0,0,0,0,0,false,0,0,0,0,0,0,32.9102,233.847,3.07176,2506,0,0.0977961,19.0083,1.03024,0,4671,0.0204226,1.35284,0,0,2025.76,0,0,310,0,0,18.7549,0.242196,0,6622,0,0,0,241,11393,0,0,1249.15,637.342,0,561,0,0.478001,false,0,0,0,0,82.2639,TWO_PC,0.0540063,11083,1617,0,0,192.953,241,0,0,0,0,0.5,0,0,1532.24,6146,0.020232,0,461,1332,18315.4,0,0,false,0.957188,47100.1,0.0157823
2255.86,0,266,1.25945,1107.91,0.124797,0.99,0.00970084,0,274.644,0,17384,0.438288,0,28,4040.94,2.40701,266,194.838,0,0.445079,17168,0,0,0.05,0.0371113,2200.92,53635.3,857.626,0,0.16755,679.374,793.798,WAIT_DIE,6.55044,0,0,0,3.48078,0,0.0153759,0.0078961,0,0,0,0,0,false,0,0,0,0,0,0,38.2267,441.551,1.73357,3127,0,0.613705,40.5844,1.31828,0,7265,0.0121158,2.08755,0,0,2257.84,0,0,56,0,0,16.8962,0.229185,0,8717,0,0,0,557,19082,0,0,640.16,1766.06,0,111,0,0.255038,false,0,0,0,0,11.8595,TWO_PC,0.27271,17384,1868.24,0,0,597.483,557,0,0,0,0,0.5,0,0,1478.89,11682,0.0191335,0,99,266,120575,0,0,false,1.13018,263833,0.0148613
2785.28,0,78,1.70753,1259.46,0.528281,1.1,0.00981042,0,584.088,0,22108,1.5092,0,28,3880.68,4.18287,78,44.369,0,0.567627,21794,0,0,0.05,0.18969,3441.59,291299,906.77,0,0.178297,1571.04,98.7256,WAIT_DIE,6.77728,0,0,0,3.30866,0,0.0167376,0.00802409,0,0,0,0,0,false,0,0,0,0,0,0,49.2235,1017.44,0.478333,5505,0,1.65181,7.63515,1.70753,0,9120,0.00945261,3.42826,0,0,1958.74,0,0,15,0,0,16.7822,0.258275,0,9979,0,0,0,527,26348,0,0,1216.71,1509.41,0,27,0,0.210321,false,0,0,0,0,2.66224,TWO_PC,0.923302,22108,1951.16,0,0,776.484,527,0,0,0,0,0.5,0,0,2196.18,17182,0.0208168,0,36,78,523329,0,0,false,1.50209,915405,0.0160776
2762,0,5566,0.0209914,542.683,0.00408847,0,0.00858342,0,115.681,0,11,0.00591651,0,28,3206.14,0.867983,5566,5476.97,0,0.383568,11,0,0,0.05,0.00166259,2637.08,2.27825,782.804,0,0.154096,241.287,628.672,WAIT_DIE,0.0041184,0,0,0,2.94191,0,0.0158085,0.00846342,0,0,0,0,0,false,0,0,0,0,0,0,28.4551,237.373,6.38771,0,0,0.0072542,6.76531,0.0956118,0,0,0.0542979,0.775299,0,0,2262.59,0,0,1246,0,0,22.1527,0.206794,0,4125,0,0,0,0,1926,0,0,3022.03,865.251,0,2405,0,1.59217,false,0,0,0,0,2240.5,TWO_PC,0.00871347,11,2287.47,0,0,0,0,0,0,0,0,0.5,0,0,2273.63,11,0.0201653,0,1915,5566,0.984403,0,0,false,0.722667,0,0.0152749
2498.33,0,6240,0.0103034,404.696,0.00363584,0.6,0.00941208,0,172.544,0,92,0.00564446,0,28,2886.82,0.854034,6240,6151.52,0,0.329375,84,0,0,0.05,0.00150004,2276.93,12.3964,716.249,0,0.170713,225.655,552.382,WAIT_DIE,0.0324495,0,0,0,2.46104,0,0.0169477,0.00828988,0,0,0,0,0,false,0,0,0,0,0,0,28.4027,212.74,6.44021,8,0,0.00675118,7.3532,0.0485671,0,34,0.0605043,0.787743,0,0,2086.67,0,0,1406,0,0,22.1286,0.217853,0,4410,0,0,0,4,2215,0,0,2803.93,534.789,0,2706,0,1.66251,false,0,0,0,0,1996.56,TWO_PC,0.00776291,92,2057.27,0,0,1.09819,4,0,0,0,0,0.5,0,0,2034.03,50,0.0216542,0,2128,6240,16.5635,0,0,false,0.784495,32.8062,0.0172477
2295.57,0,3721,0.104321,389.778,0.00686575,0.8,0.00927378,0,208.405,0,5944,0.00852763,0,28,3008.81,1.1433,3721,3459.67,0,0.400107,5575,0,0,0.05,0.00237067,1990.18,1514.25,704.825,0,0.211542,297.888,366.086,WAIT_DIE,2.47301,0,0,0,3.23711,0,0.016625,0.0121361,0,0,0,0,0,false,0,0,0,0,0,0,30.115,247.271,5.0111,538,0,0.0156307,21.7084,0.499556,0,2886,0.0402781,0.994151,0,0,2050.44,0,0,858,0,0,20.1316,0.235318,0,5672,0,0,0,107,7194,0,0,2163.36,522.817,0,1603,0,1.17813,false,0,0,0,0,360.953,TWO_PC,0.0156454,5944,1891.29,0,0,56.5994,107,0,0,0,0,0.5,0,0,1805.72,2939,0.0204869,0,1260,3721,3475.57,0,0,false,0.790676,8337.52,0.0164935
2144.29,0,1193,0.46835,547.455,0.0238508,0.9,0.0100076,0,205.6,0,12973,0.0416339,0,28,3358.57,1.53671,1193,1025.31,0,0.37176,12488,0,0,0.05,0.00733266,1931.4,9281.73,689.004,0,0.171829,416.186,394.504,WAIT_DIE,5.23468,0,0,0,2.79483,0,0.0186702,0.00852283,0,0,0,0,0,false,0,0,0,0,0,0,32.5794,253.649,2.94719,1743,0,0.100767,23.4863,0.892392,0,6384,0.0212836,1.318,0,0,1950.21,0,0,274,0,0,17.9841,0.272792,0,8630,0,0,0,233,13796,0,0,1310.64,807.862,0,504,0,0.488733,false,0,0,0,0,59.0455,TWO_PC,0.0548174,12973,1657.02,0,0,205.131,233,0,0,0,0,0.5,0,0,1597.66,6907,0.0238538,0,415,1193,20470.1,0,0,false,0.926753,47573,0.0166829
